user_budget,user_days,pref_food,pref_beach,pref_nature,pref_museums,pref_nightlife,place_name,place_province,place_category,place_rating,is_recommended
high,6,0,0,0,0,1,Diura Beach,Batanes,beach,3.7,0
comfort,3,1,1,0,0,0,Villa Elma,Rizal,sightseeing,4.5,0
low,5,0,0,0,0,1,New Washington Town Plaza,Aklan,nature,4.8,0
low,2,0,0,0,0,0,Space Bar,Guimaras,food,4.6,0
comfort,2,0,0,1,0,0,PAROLA,Davao Oriental,food,4.8,0
high,6,0,0,1,0,0,Bike Parade,Guimaras,sightseeing,4.7,0
high,4,0,1,0,0,0,WINACA,La Union,museums,4.0,0
high,4,0,0,1,0,0,Janessa's Eatery,Eastern Samar,food,4.5,1
comfort,3,1,0,0,0,0,Haddeku Cafe,Mountain Province,food,4.1,0
low,7,0,0,1,0,0,PLSP Library,Laguna,museums,4.9,0
comfort,4,0,0,1,0,0,Sozimura Ihawan at Kainan,Pampanga,food,3.7,0
comfort,4,0,0,1,1,1,Racuh a Payaman,Batanes,museums,4.5,0
high,2,1,0,1,1,0,Katunggan Park,Iloilo,nature,4.7,1
comfort,7,0,1,0,0,0,Pares King,Albay,food,3.9,0
low,2,0,1,0,0,0,Soltea,Aklan,food,4.3,0
comfort,4,1,1,0,0,0,Madja'as Viewdeck 4 (Knife Edge),Aklan,sightseeing,4.8,0
low,4,0,0,1,0,0,Ken's Cafe Poblacion 3,Laguna,food,4.0,0
low,6,1,0,0,1,0,Gaston Park,Misamis Oriental,nature,4.7,0
comfort,6,1,0,0,1,1,Bataan Death March Km 0,Bataan,beach,4.5,0
low,5,0,0,1,0,0,Purok Talisay,Zamboanga del Norte,nature,3.9,1
comfort,3,1,0,0,0,1,Sarimanok Restaurant,Bohol,food,3.7,0
low,2,1,0,0,0,0,TrancoGrill,La Union,food,4.3,0
high,2,0,0,1,0,0,Dumangas Plaza,Iloilo,beach,3.9,0
comfort,3,1,1,0,0,0,7th Heaven's Cafe,Ifugao,food,3.9,0
low,3,1,0,0,0,1,Hitoma Lake,Catanduanes,sightseeing,3.7,0
low,5,0,0,0,0,0,Caveland Nature Park,Capiz,beach,3.8,0
high,5,1,0,0,1,0,Viewpoint for Kapay-aw rice terraces,Mountain Province,museums,4.2,0
comfort,7,0,1,0,0,0,Caffé La Tea,Nueva Ecija,food,4.3,0
low,5,0,1,0,0,1,Hap Chan,Isabela,food,3.9,0
high,5,0,0,1,0,1,CONTRUCTION SITE,Southern Leyte,beach,3.7,0
high,3,1,1,0,1,0,The Mansion Compound,Benguet,museums,3.5,0
comfort,5,1,0,0,0,0,Paquit's House and RestoBar,Guimaras,food,4.0,0
high,7,0,0,0,1,0,Bisay waterfalls,Bataan,sightseeing,4.3,0
high,6,0,1,0,0,1,Ang Four Ever Restaurant,Oriental Mindoro,food,4.5,1
high,2,0,1,0,1,0,Francine's Grill,Eastern Samar,food,4.2,0
comfort,2,0,0,0,0,1,Our Nest Restaurant,Northern Samar,food,4.4,0
comfort,5,0,0,1,1,0,Elees,Lanao del Norte,food,4.1,0
comfort,4,1,0,1,0,1,Our Lady of Penafrancia Grotto,Catanduanes,museums,4.8,0
low,7,0,1,0,0,0,Tandag City Plaza,Surigao del Sur,nature,3.7,0
high,2,1,0,0,0,0,Latte Coffee Cafe,Aklan,food,3.9,1
high,5,1,1,0,0,1,Karangahan Park,Albay,nature,4.8,0
comfort,3,0,0,0,1,0,Talk N Tea,Misamis Occidental,food,4.6,0
comfort,4,1,0,1,0,1,Wok to Box UPLB,Rizal,food,4.7,0
comfort,7,0,1,0,1,0,arnold pagsambugan 451 sur,Nueva Ecija,museums,4.5,0
comfort,2,0,1,0,1,0,Freeport Area of Bataan Park,Bataan,nature,4.1,0
comfort,2,0,1,0,1,0,Concepcion Town Plaza,Tarlac,beach,4.9,0
high,3,0,1,1,1,0,Gang Te,Nueva Ecija,food,4.6,1
low,3,1,0,0,1,0,Children's Park,Negros Occidental,beach,4.9,0
comfort,3,0,0,0,0,0,Rasa Pura,Benguet,food,4.3,0
low,2,0,1,1,1,0,Share Cafe,Batangas,food,4.8,0
high,3,1,1,1,0,0,Balay Gamay,Bohol,food,3.7,1
low,6,1,1,0,0,0,Cartoon Character Statues,Palawan,sightseeing,4.4,0
comfort,4,1,0,0,0,1,BesTea in Town,Maguindanao del Norte,food,3.6,0
comfort,3,0,0,1,0,0,PANDAN,Negros Occidental,museums,4.1,0
low,6,0,0,0,1,0,The Highlands Camp,Zambales,museums,3.9,0
low,4,0,0,0,1,1,Sapian Municipal Park,Capiz,beach,4.5,0
comfort,7,0,1,0,0,0,Hill Station,La Union,food,3.7,0
comfort,3,0,0,0,0,0,"Welcome to the Egg Basket of the Philippines, San Jose, Batangas",Batangas,museums,4.5,0
comfort,6,0,1,1,0,0,J. P. Rizal Street,Albay,nature,3.8,0
comfort,6,0,0,0,0,1,Rice Terrace Clusters of Kiangan,Ifugao,sightseeing,3.9,0
low,2,0,0,1,0,0,Plaza Quezon,Camarines Sur,beach,4.4,0
comfort,3,0,0,1,0,1,Quad,La Union,nature,3.7,0
high,2,0,1,0,0,1,Table One Food Hub,Eastern Samar,food,4.0,0
comfort,3,0,1,0,0,0,Villatuna,Misamis Occidental,food,3.8,0
high,5,0,0,0,1,1,St. Roche,Bataan,sightseeing,4.6,0
low,4,1,0,0,0,1,Batan Municipal Park,Capiz,nature,4.1,0
comfort,6,1,0,0,0,0,Anayah's Agkhuyo,Mountain Province,food,4.7,0
high,6,1,1,0,0,0,St. Clement,Iloilo,sightseeing,4.2,0
low,2,0,1,1,0,0,Daddy's Pizza and Cafe,Davao del Sur,food,4.4,0
high,3,0,0,0,0,1,NATAD Beer&Grill,Eastern Samar,food,4.1,0
low,6,1,0,1,0,1,WWII Veterans Center,La Union,beach,4.1,0
low,3,0,0,1,0,0,Ying's Garlic Chili Paste,Camarines Sur,food,4.9,0
low,4,1,0,0,0,0,Capitol Park,Agusan del Norte,nature,4.2,0
low,2,0,1,0,0,0,F & C,Negros Occidental,food,4.5,0
high,5,0,0,0,1,0,Crab Building Food Park,Pangasinan,nature,4.9,0
high,5,1,0,0,1,0,Pedro's,Camiguin,food,4.2,1
comfort,4,0,1,1,0,1,Carmen Junction,Nueva Ecija,nature,4.4,0
low,4,1,0,1,0,1,TAU Library Services,Tarlac,museums,4.3,0
high,3,1,1,0,1,0,Battle of Binakayan,Cavite,nature,3.5,0
comfort,3,1,0,0,0,0,Pyramid,Albay,beach,4.6,0
low,6,1,0,0,1,0,Wet and Wild Water Slide,Laguna,museums,4.6,0
low,6,0,0,0,0,0,Igorot Goldmine,Benguet,museums,3.7,0
high,5,0,0,0,1,1,Lion International,Negros Occidental,museums,4.2,0
high,2,0,0,1,0,0,Casa Ecijanos Restaurant,Nueva Ecija,food,3.6,0
low,7,0,0,1,0,1,Azzela heights,Cebu,sightseeing,3.7,0
high,3,0,0,0,1,0,Midway Restaurant,Capiz,food,3.9,0
low,2,1,0,0,0,0,Benigno Aquino Sr. Statue,Pangasinan,museums,4.0,0
comfort,6,1,0,0,0,1,Veterans Freedom Park,Benguet,nature,4.5,0
comfort,6,0,0,1,0,0,Bulusan Nature Park,Oriental Mindoro,nature,3.8,0
comfort,4,1,0,1,0,0,Mexita's,Albay,food,3.7,0
low,7,0,0,1,0,1,Our Lady of Lourdes Grotto,Benguet,sightseeing,4.8,0
low,5,1,0,0,0,1,Caffé La Tea,Nueva Ecija,food,4.3,0
high,4,1,0,0,1,1,Station of the Cross I,Aklan,sightseeing,4.8,0
low,4,0,1,1,1,0,Nasipit Lovers Lane,Agusan del Norte,museums,3.9,0
comfort,6,0,0,0,1,0,Magsangyaw Eco-Park,South Cotabato,sightseeing,4.8,0
low,2,0,0,0,0,1,Mister donut,Kalinga,food,4.1,0
comfort,7,0,1,0,1,0,Vincentian Heritage Park,Camarines Sur,nature,4.3,0
high,3,0,1,1,0,1,DOT-PTA Complex,Benguet,beach,3.5,0
comfort,5,1,0,0,0,0,Library 2,Davao Oriental,museums,3.5,0
high,5,0,0,0,0,0,catholic canteen,Oriental Mindoro,food,4.3,0
low,7,0,0,0,1,0,St John the Baptist,Pangasinan,museums,3.8,0
high,5,0,0,0,0,1,Ka Joel's,Palawan,food,3.9,0
comfort,6,0,0,0,0,1,The River Hut,Bohol,food,4.0,0
comfort,3,0,1,0,1,0,Las Villas Playground,Pangasinan,beach,3.8,0
low,7,1,0,0,0,1,P.A.F. Jet Fighter,Benguet,sightseeing,3.9,0
high,7,1,0,0,0,0,Bitaog Beach,Dinagat Islands,museums,4.0,0
low,2,0,0,0,1,0,Del Nit'z Farm,Agusan del Norte,museums,4.9,0
low,5,0,1,0,0,1,Balisico de milano,Oriental Mindoro,food,4.0,0
high,2,0,1,0,1,0,Laeuna De Taal Lake View,Cavite,sightseeing,4.8,1
low,7,0,0,1,0,1,Mami ni Tita Osang,Rizal,food,3.9,0
low,4,0,0,1,0,0,Bitaog Centennial Tree,Agusan del Norte,museums,3.9,0
low,2,0,0,0,1,0,Baron's Restaurant,Agusan del Norte,food,3.6,0
low,3,0,0,0,0,0,Ibaan Community Park,Batangas,nature,4.3,0
high,2,1,0,0,1,1,Kamsa-Kamsa Restaurant & Pasalubong,Quezon,food,4.5,1
comfort,4,1,0,0,0,0,Penongs,Davao del Norte,food,3.8,0
low,7,0,1,1,1,0,MacArthur's Cap,Bohol,sightseeing,3.5,0
comfort,4,0,1,1,0,0,Beach House,Romblon,sightseeing,4.7,0
comfort,6,0,1,0,0,0,Jom’s Vegan Haven,Cebu,food,3.9,0
comfort,2,0,1,1,0,1,Greenbread Calauag,Quezon,food,4.5,0
comfort,2,1,1,0,0,1,"Quezon Municipal Plaza , Nueva Vizcaya",Nueva Vizcaya,beach,3.7,0
high,4,1,0,1,1,0,Pescado Modern Filipino Kitchen,Aklan,food,4.6,1
high,6,1,0,0,0,0,Max's Restaurant,Ilocos Sur,food,4.1,1
low,7,0,0,1,0,0,Paoay Sand Dunes Adventures,Ilocos Norte,museums,4.6,0
comfort,7,1,0,0,1,0,Riverway Seafood & BBQ Grill,Agusan del Norte,food,4.9,0
high,6,0,0,0,0,1,Cof/Tea,Zambales,food,3.7,0
low,4,0,1,0,0,0,basketball court,Pampanga,sightseeing,4.4,0
high,3,0,1,1,1,0,The Farm,La Union,food,4.8,1
high,3,1,0,0,0,1,Malamawi White Beach,Basilan,sightseeing,4.2,0
comfort,5,0,0,0,1,1,House Of Suman,Lanao del Norte,museums,3.9,0
comfort,5,1,0,0,0,0,Buhay Bario,South Cotabato,food,4.2,0
high,7,1,0,0,0,0,Viewpoint,Mountain Province,sightseeing,4.7,0
low,2,0,1,1,0,0,MCO Agri Farm,Negros Occidental,sightseeing,4.8,0
low,7,0,0,0,0,1,Healthy Kitchen Cafe,Iloilo,food,4.4,0
low,3,1,1,1,0,0,Firefly,Bohol,sightseeing,4.5,0
comfort,7,0,0,0,1,0,Dolowog FS10,Ifugao,sightseeing,4.0,0
low,4,0,1,1,0,0,HARDIN Grill,Isabela,food,3.9,0
comfort,2,0,0,0,1,1,Madja'as Viewdeck 1,Antique,museums,3.9,0
low,7,0,1,1,1,0,Colors of Stobosa,Benguet,sightseeing,3.7,0
comfort,7,0,0,0,1,0,Carandang Beach Resort,Masbate,museums,4.2,0
comfort,4,0,0,0,1,0,Rizal Park,Isabela,nature,4.8,0
comfort,5,0,1,0,0,0,Danao City Boardwalk,Cebu,nature,3.9,0
low,2,1,0,1,0,0,Mini-park,La Union,beach,3.6,0
comfort,5,0,1,0,1,1,UCC coffee clockwork,Negros Occidental,food,4.2,0
low,7,1,0,0,0,1,Floating Cafe,Romblon,food,4.7,0
comfort,7,0,1,0,1,1,Naga Oyster,Camarines Sur,food,3.9,0
high,5,0,1,1,0,1,Oh Bang Ramen,Camarines Norte,food,4.8,1
low,7,0,0,0,0,1,Rizal Park,Davao del Sur,beach,4.3,0
low,3,1,0,0,1,1,Bilar River,Bohol,sightseeing,3.5,0
comfort,3,0,0,1,0,0,Maculabo Beach,Camarines Norte,beach,4.4,0
high,7,0,1,0,0,1,Jack's Tapsi,Antique,food,3.6,0
low,6,0,1,0,0,0,Sandugan Marine Sanctuary,Siquijor,museums,3.5,0
comfort,5,0,1,1,1,0,VETERANS PARK,Southern Leyte,nature,3.6,0
high,4,1,0,0,1,1,Strutz Art Café,Abra,food,4.0,1
high,6,1,0,0,0,0,Basketball Court,Romblon,nature,3.6,0
high,5,1,0,0,0,1,Twinbee Mango,Cebu,sightseeing,4.6,1
low,5,0,1,1,0,0,Estong Manok & Liempo,Leyte,food,4.6,0
low,4,1,1,0,0,1,Roxas Park,Bohol,beach,3.5,1
low,3,0,0,1,0,1,Upland Rice Site,Occidental Mindoro,museums,4.5,0
comfort,7,0,0,0,0,0,Ayuste Nature Park Sea of Clouds,Davao Oriental,sightseeing,4.7,0
comfort,2,0,0,0,1,0,Cagsawa Ruins Park,Albay,nature,4.6,0
comfort,2,0,0,0,1,0,Masanao Hills,Bohol,museums,4.9,0
comfort,3,0,0,1,0,1,MacArthur's Cap,Bohol,sightseeing,3.5,0
low,7,0,1,0,0,0,Chocolate Hills,Bohol,sightseeing,4.4,0
comfort,7,1,1,0,0,0,Namaskar Vegetarian Restaurant,Palawan,food,4.4,0
comfort,6,0,1,1,1,0,Dirt Rider's Southern Leyte Usay Lubi,Southern Leyte,museums,3.9,0
comfort,2,1,1,1,0,0,Arguelles Ancestral House,Rizal,museums,3.7,0
low,3,0,0,1,0,0,Ardent Restaurant,Camiguin,food,3.8,0
low,4,1,1,1,0,0,Lechon and Seafood Grill (Cebu's Best Boneless Lechon),Eastern Samar,food,4.2,0
high,6,0,0,0,0,0,La Paz Dunes,Ilocos Norte,sightseeing,4.8,1
low,3,0,0,0,1,1,Ibaan Community Park,Batangas,nature,4.3,0
high,4,1,0,0,0,1,Anayah's,Mountain Province,food,4.6,1
comfort,7,0,1,0,0,0,Lola Basyang Grounds,Bataan,nature,3.9,0
low,6,1,0,0,0,0,Former Tieza Botanical Garden,Cebu,sightseeing,4.1,0
comfort,3,0,0,1,0,0,Hundred Caves,Palawan,museums,3.9,0
high,7,0,1,1,0,0,Dutch Cafe,Oriental Mindoro,food,3.8,0
low,5,0,0,0,1,1,Mayo Bay Park,Davao Oriental,beach,4.4,0
high,4,0,1,0,1,0,Bawang Mini Dam,Eastern Samar,sightseeing,3.8,0
comfort,5,0,1,0,0,0,Bacuag Municipal Park,Surigao del Norte,beach,4.5,0
low,7,1,0,1,0,0,paradise park,Quezon,beach,4.6,0
high,5,0,0,0,1,0,RestoAvenue,Camarines Norte,food,4.4,0
high,6,0,0,0,1,0,Naval Municipal Park,Leyte,beach,4.3,0
high,7,0,0,0,0,0,Baao Viewing Deck,Camarines Sur,nature,4.5,0
comfort,4,0,0,0,1,0,Domingos,Tarlac,sightseeing,4.4,0
comfort,3,0,0,0,1,0,CubCub Barangay Plaza,Tarlac,nature,3.8,0
low,6,0,1,0,0,0,Hayahay Cafe,Camiguin,food,4.3,0
high,2,1,0,0,1,1,Butaka,Aurora,sightseeing,4.9,0
low,3,0,0,0,0,0,The Fun Farm,Cavite,museums,4.7,0
high,5,0,1,0,1,1,Caleeb's Cafe,Camiguin,food,4.3,0
comfort,3,1,0,0,1,1,Bilar Manmade Forest,Bohol,museums,4.2,0
high,2,0,0,0,0,0,Embarcadero Lighthouse,Albay,museums,3.6,0
comfort,5,0,1,0,0,0,Bulacan Provincial Library,Pampanga,museums,3.8,0
high,4,0,0,1,0,0,Madja'as Summit Viewpoint,Aklan,museums,3.7,0
high,6,0,0,1,0,1,Estelita's Café,Rizal,food,3.7,0
low,3,1,0,1,0,1,Brooklyn Place,Cavite,museums,3.6,0
low,6,0,0,1,1,0,MacArthur Memorial Marker,Misamis Oriental,beach,4.7,0
low,7,1,0,0,0,0,Cafe Miro Online Coffee Shop,Nueva Ecija,food,3.7,0
comfort,5,0,1,0,0,1,Baguio Viewpoint,Ifugao,sightseeing,3.6,0
comfort,4,0,0,0,1,1,Angeles University Library,Pampanga,museums,4.2,0
low,7,0,0,1,0,0,Bonitos,Rizal,food,4.1,0
comfort,3,1,0,0,0,0,La Gondola VenezianA,Rizal,food,3.6,0
high,3,1,1,0,0,1,Caliraya Slip n Slide,Rizal,museums,4.8,0
high,2,0,0,1,0,0,Bacacay Children's Paradise,Albay,beach,4.2,0
comfort,5,1,0,0,0,0,Caliraya Wall Climbing,Rizal,sightseeing,4.3,0
comfort,7,0,0,0,0,0,El Union Coffee,La Union,food,3.7,0
high,7,1,1,0,1,0,Kavaywan Lake,Batanes,sightseeing,4.4,0
comfort,2,0,0,1,0,0,Osrox Park,Misamis Occidental,nature,4.5,0
low,6,0,0,0,1,0,LES Library,Guimaras,museums,4.6,0
low,2,0,1,0,0,0,Matutina Gerry's Seafood House,Pangasinan,food,4.4,0
high,7,0,0,0,0,0,Babes Food Corner,Aklan,food,4.7,1
low,3,1,0,1,0,0,Battle of Binakayan,Cavite,beach,4.7,0
low,6,0,0,1,1,1,Sine Kafé,Misamis Occidental,food,3.9,0
comfort,4,0,1,0,0,0,Viewpoint,Mountain Province,sightseeing,4.7,0
comfort,4,0,0,0,1,1,Dear Manok,Misamis Oriental,food,3.8,0
low,4,0,0,0,0,1,Bulusan Public Library,Sorsogon,museums,4.2,0
low,4,1,1,0,0,0,Nena's Inasal,Negros Occidental,food,3.9,0
low,4,0,0,1,0,0,Donya Thelma Ferrer Spring Resort,Capiz,beach,4.2,0
high,7,0,0,0,1,0,Photopix Tarpaulin,Guimaras,sightseeing,4.3,0
low,2,1,0,1,0,1,United Paragon Mining Corp,Camarines Norte,museums,4.5,0
high,4,0,1,1,0,0,David's Tea House,Davao del Norte,food,3.7,0
comfort,5,1,1,0,0,0,Phi Omega Park,Benguet,beach,4.7,0
high,2,1,1,0,0,1,Nonny and Syness Litson Manok,Zambales,food,4.9,1
high,6,1,1,0,0,0,GT Park,Iloilo,nature,4.9,0
high,7,0,0,0,1,0,Café Amazon,Samar,food,3.6,0
low,6,0,0,0,0,1,Bachmann Mansion,Palawan,sightseeing,4.0,0
high,4,1,0,0,0,0,Baak's,La Union,food,3.8,1
comfort,7,1,0,1,0,1,Lubao International Hot Air Balloon Festival,Bataan,sightseeing,4.9,0
low,4,1,1,0,0,0,Francine's Grill,Eastern Samar,food,4.2,0
comfort,5,0,1,0,1,0,Linear Park Phase 1&2,Batangas,nature,3.8,0
comfort,4,1,1,0,1,0,viewpoint 30 Php,Ifugao,museums,4.3,0
low,4,1,1,0,0,0,Coal-fired Steam Locomotive,Pangasinan,sightseeing,4.2,0
comfort,5,0,1,0,0,0,Phil's Brew,Batanes,food,4.7,0
comfort,3,0,0,1,1,0,Lubao International Hot Air Balloon Festival,Pampanga,sightseeing,3.7,0
high,7,0,1,0,0,0,Beverly View,Cebu,museums,3.9,0
high,5,0,0,0,0,0,Avenue Square,Camarines Sur,food,4.7,1
low,2,0,0,1,1,0,1 Luttuacan,Apayao,sightseeing,3.6,0
comfort,3,0,0,0,1,1,Gilly's Eatery,Leyte,food,3.9,0
comfort,2,1,1,0,0,1,Mesa,Benguet,food,4.7,0
comfort,5,0,0,0,1,0,Penong's,South Cotabato,food,4.2,0
high,6,0,0,0,0,1,The Colonel's Coffee,Davao Oriental,food,3.9,0
high,4,0,0,1,0,0,The Gram Coffee - Palanginan,Zambales,food,3.8,0
high,7,0,1,0,0,0,Lake Maragang Rainforest Park,Zamboanga del Sur,sightseeing,4.7,0
high,4,0,0,0,0,1,Freedom Park,Northern Samar,nature,4.2,0
low,7,1,0,0,0,0,Estelita's Café,Rizal,food,3.7,0
high,6,1,0,1,0,0,Children's Park - Phase 2,Batangas,beach,4.5,0
high,5,1,1,0,0,1,Tafarmco Park,La Union,beach,3.8,0
low,7,0,0,0,0,1,AHAVAH Milk Tea House,Bukidnon,food,4.4,0
comfort,5,0,0,1,1,0,Eatery,Bukidnon,food,4.2,0
high,6,1,0,0,1,0,Fields Bistro,Pampanga,food,4.2,1
high,6,0,0,0,0,0,Banban Binhi Eco Park,Negros Oriental,beach,4.7,0
high,3,1,0,0,0,0,Mangrove Hut 1,Palawan,museums,4.7,0
low,6,0,1,0,0,0,Malipayon Park,Davao del Sur,nature,4.6,0
low,5,1,0,0,0,0,Natilus,Marinduque,museums,4.9,0
comfort,2,1,0,0,0,0,KUSINA,Southern Leyte,food,4.2,0
low,6,1,0,1,0,0,Iba People's Park,Zambales,nature,4.5,1
low,6,1,1,0,1,0,Ocean Adventure,Bataan,museums,3.6,0
low,4,0,1,0,0,0,Reynaldo's Smoke House,Batangas,food,4.5,0
comfort,4,1,0,1,0,1,Resteabar unli baaw,Pangasinan,food,3.6,0
comfort,5,1,0,1,0,1,Russ Beth Restaurant,Southern Leyte,food,3.8,0
high,3,0,0,1,0,0,Sibulan Town Plaza,Siquijor,nature,4.1,0
comfort,6,0,0,0,0,0,New Washington Town Plaza,Aklan,nature,4.8,0
comfort,5,0,0,1,1,1,Magsaysay Josue jelmars bugais fb,Dinagat Islands,sightseeing,4.3,0
low,2,1,0,0,0,0,Kagusua Beach,Siquijor,beach,3.5,0
high,2,1,0,0,1,0,Municipal Information & Reading Center,Davao de Oro,museums,4.8,1
comfort,6,1,0,0,1,0,Beach Bistro,Aklan,food,4.8,0
high,4,0,0,0,0,0,Santander Municipal Plaza,Siquijor,beach,4.0,0
low,4,0,0,1,1,0,Chipping's sisig express,Oriental Mindoro,food,4.2,0
comfort,4,1,1,0,0,0,Kapitbahay Restaurant,Quezon,food,3.7,0
low,5,0,1,0,1,0,Tappan Park,Bataan,nature,3.9,0
low,3,0,0,1,0,0,Marian Orchard,Laguna,museums,3.5,0
low,6,0,1,0,0,0,Santa Barbara Victory Plaza,Guimaras,nature,4.4,0
high,7,0,0,0,0,1,Our Lady of Penafrancia Grotto,Catanduanes,sightseeing,4.2,0
low,5,0,0,0,1,0,Big Tummy Unli Grill,Zambales,food,3.8,0
high,4,0,0,0,1,0,Stacey's,Mountain Province,food,3.7,0
comfort,3,0,0,0,1,0,Banahaw Tatlong Tangke Viewpoint,Laguna,sightseeing,3.7,0
high,5,1,0,0,0,1,JB Nature Farm and Resort,Surigao del Norte,sightseeing,4.4,0
low,3,1,0,0,0,1,Auds,Misamis Oriental,food,4.2,0
comfort,7,0,0,1,0,0,Jose Rizal Monument,South Cotabato,museums,3.6,0
low,3,0,1,0,0,0,Starbucks,Davao de Oro,food,3.7,0
low,6,1,0,0,0,1,The Librewry Cafe,Misamis Oriental,food,3.5,0
high,3,1,0,0,0,1,Ace Resto,Maguindanao del Sur,food,4.4,1
high,5,1,1,0,0,0,10th Station,Camiguin,sightseeing,3.6,0
low,7,1,0,0,1,1,Fiber home Warehouse,Cebu,sightseeing,3.9,0
high,4,0,1,0,0,0,Sumlang Lake / Nature FunTraventure,Albay,nature,4.6,0
comfort,3,1,0,0,0,0,Baao Viewing Deck,Camarines Sur,beach,4.5,0
comfort,4,0,0,0,1,0,Rock Tower,Quirino,museums,4.7,0
high,7,0,1,1,1,0,Obelisk,Guimaras,museums,4.3,0
comfort,7,0,0,1,0,0,Viewpoint to taal lake,Batangas,sightseeing,4.0,0
high,2,1,1,0,1,0,Mini-park,Benguet,beach,4.8,1
low,6,0,1,0,1,0,School Ground  - Grass,Apayao,beach,4.4,1
low,7,0,0,0,0,1,Red Leaf RestoBar,Sorsogon,food,4.2,0
low,3,0,0,1,0,1,Road crossing tree,Marinduque,sightseeing,3.5,0
comfort,3,0,0,1,0,0,Compra's Residence,Biliran,sightseeing,3.6,0
comfort,5,0,1,0,0,0,Acao Viewdeck,La Union,museums,4.4,0
comfort,5,0,1,0,1,0,Natad Beer&Grill,Eastern Samar,food,4.1,0
low,7,0,1,1,0,0,Dela Cruz House of Piña,Aklan,sightseeing,3.6,0
comfort,3,0,0,0,1,0,Chi Cha,Albay,food,4.8,0
high,7,0,1,1,0,0,Sampaguita Garden,Tarlac,sightseeing,4.3,0
high,2,1,0,0,1,0,Los Pedritos,Pangasinan,food,4.3,1
low,6,0,0,0,1,0,Rock Formations,Biliran,museums,3.7,0
low,6,0,0,1,0,1,RTR Rizal Park,Agusan del Norte,nature,4.7,1
high,2,0,0,0,0,1,Camp Damada,Davao de Oro,food,3.7,0
high,7,1,0,1,0,1,St. Joseph Statuette,Tarlac,museums,4.0,0
low,6,0,1,0,0,1,Gullas Medical Center,Cebu,beach,4.4,1
comfort,7,0,1,1,1,0,Purok Maria Rosa Plaza,South Cotabato,nature,4.4,0
comfort,6,0,0,0,1,0,WaterWorld Iloilo,Iloilo,sightseeing,3.6,0
high,4,0,1,0,0,0,Juan Carlo,Batangas,food,4.7,1
high,4,0,0,0,0,1,Aeroville,Albay,museums,4.0,0
comfort,3,0,1,0,1,0,Torisho,Nueva Ecija,food,4.9,0
low,2,0,1,0,1,0,Burgery,South Cotabato,food,4.2,0
comfort,5,0,0,0,1,0,Mt. Bandilaan National Park,Siquijor,sightseeing,3.9,0
comfort,3,1,1,0,0,1,Bela Bella Bakery & Cafe Camalig,Albay,food,4.2,0
high,2,0,0,1,0,1,DSR Kitchen,Davao Oriental,food,4.9,1
low,4,0,1,0,0,0,Don Severo Dumlao Park,Pangasinan,nature,3.8,0
low,7,1,0,1,0,1,Mimi's Pastil Land,Zamboanga del Sur,food,4.0,0
low,7,0,0,1,0,1,Lipa City Library & Museum,Batangas,museums,3.9,0
high,6,1,0,0,0,1,Roasted Pork Recipe,Albay,food,4.0,1
low,2,0,0,1,0,1,"Upland Rice Site, Sitio Calomintao, Brgy. Alacaak",Occidental Mindoro,museums,3.9,0
comfort,6,0,0,1,1,0,Tarlac Circuit Hill,Tarlac,sightseeing,4.6,0
comfort,4,1,1,0,0,0,Starbucks,Tarlac,food,4.1,0
comfort,4,0,1,0,1,0,Jose P. Rizal Monument,Nueva Vizcaya,museums,4.7,0
high,5,0,0,1,0,0,Bishop Henry Byrne Park,Zambales,beach,4.5,0
low,3,1,1,0,0,0,Artisans,Palawan,food,4.1,0
comfort,7,0,1,0,0,0,Maria Clara,Iloilo,museums,4.3,0
high,7,0,0,0,0,0,The Viñard Cafe,Misamis Occidental,food,4.2,0
high,2,0,1,0,1,0,Mt. Asog Viewpoint,Camarines Sur,museums,4.7,1
low,5,1,0,0,0,0,Chef Carlo Bilao Take Out,Camarines Norte,food,4.3,0
high,4,0,0,1,1,0,Sunshine Park,Benguet,nature,4.5,1
low,4,0,1,0,0,0,Heritage Cafe,Mountain Province,food,3.8,0
comfort,2,1,0,1,1,0,Sand Dunes,Ilocos Norte,museums,4.1,0
high,6,0,1,1,0,1,Cafe Miro Online Coffee Shop,Nueva Ecija,food,3.7,0
low,2,0,0,1,0,1,Paoay Sand Dunes Adventures,Ilocos Norte,sightseeing,4.6,0
high,2,1,0,0,0,1,Beach,Marinduque,museums,4.8,0
low,4,0,0,1,1,0,Mount Samat National Shrine,Bataan,museums,4.8,0
high,4,0,0,0,0,1,Luyang Cave,Catanduanes,museums,3.7,0
high,2,0,0,0,1,1,Nikko's Cafe,Lanao del Norte,food,4.3,0
low,2,0,0,1,1,0,Apayao Brew,Nueva Vizcaya,food,3.5,0
high,5,0,0,0,1,1,Dahican Bagnet Fishing,Agusan del Norte,sightseeing,4.0,0
high,6,0,1,0,0,0,Coffee Lounge,Misamis Occidental,food,4.8,1
high,7,1,1,0,0,0,Plaza Rizal,Bukidnon,beach,4.8,1
high,2,0,0,1,1,0,Gen-Taurus Tailoring Shop,Cavite,museums,3.6,0
high,6,1,0,0,0,1,E & P Solis Compound,Nueva Ecija,food,3.7,1
low,4,1,0,0,0,0,Jose Rizal Plaza,Rizal,nature,4.6,0
high,3,1,1,0,0,1,Veterans Park,La Union,nature,4.5,0
